IPTGpre,aTcPre,IPTG,aTc,time(min),RFPMean,RFPStandardDeviation,GFPMean,GFPStandardDeviation
0,1,0,100,0,17.506,11.649,17.506,11.649
0,1,0,100,5,14.026,13.215,14.026,13.215
0,1,0,100,10,12.583,12.536,12.583,12.536
0,1,0,100,15,17.225,12.427,17.225,12.427
0,1,0,100,20,15.018,12.638,15.018,12.638
0,1,0,100,25,16.032,13.55,16.032,13.55
0,1,0,100,30,16.251,13.884,16.251,13.884
0,1,0,100,35,15.369,13.438,15.369,13.438
0,1,0,100,40,15.183,14.292,15.183,14.292
0,1,0,100,45,19.859,15.08,19.859,15.08
0,1,0,100,50,16.106,14.243,16.106,14.243
0,1,0,100,55,17.246,14.267,17.246,14.267
0,1,0,100,60,13.401,15.866,13.401,15.866
0,1,0,100,65,20.209,14.231,20.209,14.231
0,1,0,100,70,23.335,13.055,23.335,13.055
0,1,0,100,75,18.176,12.727,18.176,12.727
0,1,0,100,80,18.904,11.563,18.904,11.563
0,1,0,100,85,21.165,10.435,21.165,10.435
0,1,0,100,90,19.315,12.696,19.315,12.696
0,1,0,100,95,21.319,11.852,21.319,11.852
0,1,0,100,100,19.361,13.706,19.361,13.706
0,1,0,100,105,19.556,12.592,19.556,12.592
0,1,0,100,110,20.534,12.268,20.534,12.268
0,1,0,100,115,21.529,11.853,21.529,11.853
0,1,0,100,120,20.077,13.932,20.077,13.932
0,1,0,100,125,20.59,12.596,20.59,12.596
0,1,0,100,130,19.473,14.654,19.473,14.654
0,1,0,100,135,20.283,12.998,20.283,12.998
0,1,0,100,140,20.898,12.828,20.898,12.828
0,1,0,100,145,20.902,12.179,20.902,12.179
0,1,0,100,150,20.212,12.279,20.212,12.279
0,1,0,100,155,20.026,12.277,20.026,12.277
0,1,0,100,160,21.553,11.388,21.553,11.388
0,1,0,100,165,22.687,11.723,22.687,11.723
0,1,0,100,170,21.779,12.652,21.779,12.652
0,1,0,100,175,22.937,11.81,22.937,11.81
