Time(min),Step100_2,Step7p5,Step2p5,Random,Step100_1
0,823.01,823.01,823.01,823.01,823.01
5,823.01,823.01,823.01,823.01,823.01
10,823.01,823.01,823.01,823.01,823.01
15,823.01,823.01,823.01,823.01,823.01
20,823.01,823.01,823.01,823.01,823.01
25,823.01,823.01,823.01,823.01,823.01
30,823.01,823.01,823.01,823.01,823.01
35,823.01,823.01,823.01,823.01,823.01
40,823.01,823.01,823.01,823.01,823.01
45,823.01,823.01,823.01,823.01,823.01
50,823.01,823.01,823.01,823.01,823.01
55,823.01,823.01,823.01,823.01,823.01
60,823.01,823.01,823.01,823.01,823.01
65,823.01,823.01,823.01,823.01,823.01
70,823.01,823.01,823.01,823.01,823.01
75,823.01,823.01,823.01,823.01,823.01
80,823.01,823.01,823.01,823.01,823.01
85,823.01,823.01,823.01,823.01,823.01
90,823.01,823.01,823.01,823.01,823.01
95,823.01,823.01,823.01,823.01,823.01
100,823.01,823.01,823.01,823.01,823.01
105,823.01,823.01,823.01,823.01,823.01
110,823.01,823.01,823.01,823.01,823.01
115,823.01,823.01,823.01,823.01,823.01
120,823.01,823.01,823.01,823.01,823.01
125,823.01,823.01,823.01,823.01,823.01
130,823.01,823.01,823.01,823.01,823.01
135,823.01,823.01,823.01,823.01,823.01
140,823.01,823.01,823.01,823.01,823.01
145,823.01,823.01,823.01,823.01,823.01
150,823.01,823.01,823.01,823.01,823.01
155,823.01,823.01,823.01,823.01,823.01
160,823.01,823.01,823.01,823.01,823.01
165,823.01,823.01,823.01,823.01,823.01
170,823.01,823.01,823.01,823.01,823.01
175,823.01,823.01,823.01,823.01,823.01
180,823.01,823.01,823.01,823.01,823.01
185,849.33,840.27,829.81,845.03,849.33
190,999.25,938.6,868.52,970.46,999.25
195,1322.5,1150.6,952.01,1240.9,1322.5
200,1820.8,1477.4,1080.7,1657.8,1820.8
205,2470.8,1903.8,1248.5,2201.6,2470.8
210,3238.9,2407.5,1446.9,2844.2,3238.9
215,4089,2965.1,1666.4,3555.4,4089
220,4987.6,3554.4,1898.5,4307.2,4987.6
225,5905.4,4156.4,2135.5,5075.1,5905.4
230,6818.8,4755.5,2371.4,5839.2,6818.8
235,7709.2,5339.5,2601.4,6584.1,7709.2
240,8562.9,5899.4,2821.8,7298.4,8562.9
245,9370.5,6429.1,3030.4,7974,9370.5
250,10126,6924.5,3225.4,8605.9,10126
255,10826,7383.5,3406.2,9191.5,10826
260,11469,7805.5,3572.3,9729.7,11469
265,12056,8190.7,3724,10221,12056
270,12590,8540.4,3861.7,10667,12590
275,13071,8856.2,3986,11070,13071
280,13504,9140.1,4097.8,11432,13504
285,13892,9394.3,4197.9,11756,13892
290,14238,9621.3,4287.3,12046,14238
295,14545,9823.2,4366.8,12303,14545
300,14819,10002,4437.4,12532,14819
305,15061,10161,4499.9,12735,15061
