Time(min),Step100_2,Step7p5,Step2p5,Random,Step100_1
0,57.875,57.875,57.875,57.875,57.875
5,57.875,57.875,57.875,57.875,57.875
10,57.875,57.875,57.875,57.875,57.875
15,57.875,57.875,57.875,57.875,57.875
20,57.875,57.875,57.875,57.875,57.875
25,57.875,57.875,57.875,57.875,57.875
30,57.875,57.875,57.875,57.875,57.875
35,57.875,57.875,57.875,57.875,57.875
40,57.875,57.875,57.875,57.875,57.875
45,57.875,57.875,57.875,57.875,57.875
50,57.875,57.875,57.875,57.875,57.875
55,57.875,57.875,57.875,57.875,57.875
60,57.875,57.875,57.875,57.875,57.875
65,57.875,57.875,57.875,57.875,57.875
70,57.875,57.875,57.875,57.875,57.875
75,57.875,57.875,57.875,57.875,57.875
80,57.875,57.875,57.875,57.875,57.875
85,57.875,57.875,57.875,57.875,57.875
90,57.875,57.875,57.875,57.875,57.875
95,57.875,57.875,57.875,57.875,57.875
100,57.875,57.875,57.875,57.875,57.875
105,57.875,57.875,57.875,57.875,57.875
110,57.875,57.875,57.875,57.875,57.875
115,57.875,57.875,57.875,57.875,57.875
120,57.875,57.875,57.875,57.875,57.875
125,57.875,57.875,57.875,57.875,57.875
130,57.875,57.875,57.875,57.875,57.875
135,57.875,57.875,57.875,57.875,57.875
140,57.875,57.875,57.875,57.875,57.875
145,57.875,57.875,57.875,57.875,57.875
150,57.875,57.875,57.875,57.875,57.875
155,57.875,57.875,57.875,57.875,57.875
160,57.875,57.875,57.875,57.875,57.875
165,57.875,57.875,57.875,57.875,57.875
170,57.875,57.875,57.875,57.875,57.875
175,57.875,57.875,57.875,57.875,57.875
180,57.875,57.875,57.875,57.875,57.875
185,58.119,57.981,57.885,58.071,58.119
190,59.53,58.596,57.942,59.202,59.53
195,62.652,59.956,58.068,61.705,62.652
200,67.641,62.129,58.27,65.704,67.641
205,74.451,65.096,58.546,71.164,74.451
210,82.946,68.797,58.889,77.973,82.946
215,92.946,73.154,59.294,85.99,92.946
220,104.26,78.084,59.752,95.063,104.26
225,116.72,83.51,60.256,105.05,116.72
230,130.14,89.356,60.799,115.8,130.14
235,144.37,95.556,61.375,127.21,144.37
240,159.27,102.05,61.978,139.16,159.27
245,174.73,108.78,62.604,151.55,174.73
250,190.63,115.71,63.248,164.3,190.63
255,206.88,122.79,63.905,177.33,206.88
260,223.4,129.99,64.574,190.57,223.4
265,240.11,137.27,65.25,203.97,240.11
270,256.95,144.6,65.932,217.47,256.95
275,273.87,151.97,66.616,231.03,273.87
280,290.81,159.36,67.302,244.61,290.81
285,307.75,166.73,67.987,258.19,307.75
290,324.63,174.09,68.671,271.72,324.63
295,341.44,181.41,69.351,285.19,341.44
300,358.13,188.69,70.027,298.58,358.13
305,374.7,195.9,70.697,311.86,374.7
310,391.13,203.06,71.362,325.03,391.13
315,407.39,210.14,72.02,338.06,407.39
320,423.47,217.15,72.671,350.96,423.47
325,439.36,224.07,73.314,363.7,439.36
330,455.06,230.91,73.949,376.28,455.06
335,470.54,237.66,74.576,388.69,470.54
340,485.82,244.31,75.194,400.94,485.82
345,500.88,250.87,75.804,413.01,500.88
350,515.72,257.34,76.404,424.91,515.72
355,530.33,263.7,76.995,436.62,530.33
360,544.72,269.97,77.578,448.16,544.72
365,558.88,276.14,78.151,459.55,558.88
370,572.81,282.21,78.715,470.99,572.81
375,586.52,288.18,79.269,482.55,586.52
380,600,294.05,79.815,494.29,600
385,613.25,299.83,80.351,506.18,613.25
390,626.28,305.51,80.879,518.21,626.28
395,639.08,311.08,81.397,530.34,639.08
400,651.67,316.57,81.906,542.54,651.67
405,664.04,321.95,82.407,554.77,664.04
410,676.19,327.25,82.898,567.01,676.19
415,688.12,332.45,83.382,579.23,688.12
420,699.85,337.56,83.856,591.4,699.85
425,711.36,342.57,84.322,603.52,711.36
430,722.68,347.5,84.78,615.54,722.68
435,733.78,352.34,85.23,627.48,733.78
440,744.69,357.09,85.671,639.3,744.69
445,755.41,361.76,86.105,651,755.41
450,765.92,366.34,86.53,662.57,765.92
455,776.25,370.84,86.948,674,776.25
460,786.39,375.26,87.359,685.28,786.39
465,796.35,379.6,87.762,696.42,796.35
470,806.12,383.86,88.157,707.4,806.12
475,815.72,388.04,88.545,718.22,815.72
480,825.14,392.14,88.927,728.88,825.14
485,834.38,396.17,89.301,739.38,834.38
490,843.46,400.12,89.668,749.72,843.46
495,852.37,404.01,90.029,759.89,852.37
500,861.12,407.82,90.383,769.9,861.12
505,869.71,411.56,90.731,779.74,869.71
510,878.14,415.23,91.072,789.42,878.14
515,886.41,418.83,91.407,798.94,886.41
520,894.53,422.37,91.735,808.3,894.53
525,902.51,425.85,92.058,817.49,902.51
530,910.33,429.26,92.375,826.53,910.33
535,918.01,432.6,92.685,835.41,918.01
540,925.55,435.89,92.991,844.13,925.55
545,932.95,439.11,93.29,852.71,932.95
550,940.22,442.27,93.584,861.14,940.22
555,947.35,445.38,93.873,869.44,947.35
560,954.34,448.43,94.156,877.62,954.34
565,961.21,451.42,94.434,885.68,961.21
570,967.95,454.36,94.707,893.61,967.95
575,974.57,457.24,94.974,901.42,974.57
580,981.07,460.07,95.237,909.1,981.07
585,987.44,462.85,95.495,916.66,987.44
590,993.7,465.57,95.749,924.1,993.7
595,999.84,468.25,95.997,931.41,999.84
600,1005.9,470.88,96.241,938.6,1005.9
605,1011.8,473.45,96.48,945.67,1011.8
610,1017.6,475.98,96.715,952.62,1017.6
615,1023.3,478.47,96.946,959.45,1023.3
620,1028.9,480.9,97.173,966.16,1028.9
625,1034.4,483.3,97.395,972.75,1034.4
630,1039.8,485.64,97.613,979.23,1039.8
635,1045.1,487.95,97.827,985.59,1045.1
640,1050.2,490.21,98.037,991.84,1050.2
645,1055.3,492.43,98.243,997.98,1055.3
650,1060.3,494.61,98.446,1004,1060.3
655,1065.3,496.75,98.644,1009.9,1065.3
