Time(min),Pulses,Random,Step
0,823.01,823.01,823.01
5,823.01,823.01,823.01
10,823.01,823.01,823.01
15,823.01,823.01,823.01
20,823.01,823.01,823.01
25,823.01,823.01,823.01
30,823.01,823.01,823.01
35,823.01,823.01,823.01
40,823.01,823.01,823.01
45,823.01,823.01,823.01
50,823.01,823.01,823.01
55,823.01,823.01,823.01
60,823.01,823.01,823.01
65,823.01,823.01,823.01
70,823.01,823.01,823.01
75,823.01,823.01,823.01
80,823.01,823.01,823.01
85,823.01,823.01,823.01
90,823.01,823.01,823.01
95,823.01,823.01,823.01
100,823.01,823.01,823.01
105,823.01,823.01,823.01
110,823.01,823.01,823.01
115,823.01,823.01,823.01
120,823.01,823.01,823.01
125,823.01,823.01,823.01
130,823.01,823.01,823.01
135,823.01,823.01,823.01
140,823.01,823.01,823.01
145,823.01,823.01,823.01
150,823.01,823.01,823.01
155,823.01,823.01,823.01
160,823.01,823.01,823.01
165,823.01,823.01,823.01
170,823.01,823.01,823.01
175,823.01,823.01,823.01
180,823.01,823.01,823.01
185,848.84,840.86,844.07
190,995.95,942.55,964
195,1313.2,1161.8,1222.6
200,1802.1,1499.8,1621.2
205,2439.9,1940.7,2141.2
210,3193.6,2461.7,2755.6
215,4027.8,3038.3,3435.7
220,4909.6,3647.8,4154.5
225,5810.2,4270.4,4888.8
230,6706.5,4889.9,5619.5
235,7580.2,5493.8,6331.8
240,8418,6072.9,7014.7
245,9184.6,6620.7,7660.8
250,9778.7,7133,8265
255,10148,7607.8,8824.9
260,10291,8044.1,9339.6
265,10229,8442.5,9809.5
270,9998.6,8804.2,10236
275,9636.8,9130.7,10621
280,9179.8,9424.3,10967
285,8659.5,9687.2,11277
290,8102.8,9921.9,11554
295,7531.2,10131,11801
300,6961.6,10316,12019
305,6406.7,10480,12213
310,5875.3,10625,12384
315,5373.6,10753,12535
320,4905.3,10866,12668
325,4472.2,10965,12784
330,4074.9,11052,12887
335,3712.8,11128,12977
340,3384.7,11195,13056
345,3088.9,11254,13125
350,2823.4,11305,13185
355,2585.9,11349,13238
360,2374.2,11388,13284
365,2186,11423,13324
370,2019.1,11459,13359
375,1871.4,11497,13389
380,1741.1,11539,13416
385,1626.2,11584,13439
390,1525.1,11631,13459
395,1436.3,11679,13477
400,1358.4,11727,13492
405,1290,11774,13505
410,1230.2,11820,13517
415,1177.9,11863,13527
420,1132.1,11903,13536
425,1092.1,11941,13543
430,1057.2,11976,13550
435,1026.8,12008,13556
440,1000.3,12038,13561
445,977.15,12064,13565
450,957.01,12088,13569
455,939.47,12110,13572
460,924.21,12129,13575
465,910.93,12146,13577
470,899.38,12161,13579
475,889.33,12175,13581
480,880.6,12187,13583
485,898.84,12197,13584
490,1039.4,12207,13585
495,1350.9,12215,13586
500,1834.8,12222,13587
505,2468.3,12229,13588
510,3218.3,12234,13589
515,4049.2,12239,13589
520,4928.1,12243,13590
525,5826.3,12247,13590
530,6720.5,12250,13591
535,7592.3,12253,13591
540,8428.5,12256,13591
545,9193.7,12241,13592
550,9786.6,12147,13592
555,10155,11942,13592
560,10297,11625,13592
565,10234,11212,13592
570,10003,10722,13592
575,9640.7,10180,13592
580,9183.2,9606.9,13593
585,8662.4,9021.3,13593
590,8105.3,8438.6,13593
595,7533.4,7870.4,13593
600,6963.6,7325.6,13593
605,6408.3,6810.2,13593
610,5876.8,6328.1,13593
615,5374.9,5881.4,13593
620,4906.3,5470.7,13593
625,4473.1,5095.8,13593
630,4075.7,4755.5,13593
635,3713.5,4448.2,13593
640,3385.3,4171.8,13593
645,3089.5,3924.4,13593
650,2823.8,3703.5,13593
655,2586.3,3506.9,13593
660,2374.5,3332.4,13593
665,2186.3,3177.9,13593
670,2019.3,3041.4,13593
675,1871.7,2921,13593
680,1741.3,2815,13593
685,1626.4,2721.8,13593
690,1525.3,2639.9,13593
695,1436.4,2568.1,13593
700,1358.5,2505.2,13593
705,1290.1,2450.2,13593
710,1230.3,2402,13593
715,1177.9,2360,13593
720,1132.2,2323.3,13593
725,1092.2,2308.9,13593
730,1057.3,2381.5,13593
735,1026.8,2574.1,13593
740,1000.3,2887.3,13593
745,977.18,3305.1,13593
750,957.03,3804.5,13593
755,939.49,4361,13593
760,924.23,4951.9,13593
765,910.94,5557.4,13593
770,899.39,6161.2,13593
775,889.35,6750.7,13593
780,880.61,7316.8,13593
785,898.85,7852.7,13593
790,1039.4,8354.4,13593
795,1350.9,8819.6,13593
800,1834.8,9247.4,13593
805,2468.3,9638.2,13593
810,3218.3,9993,13593
815,4049.2,10313,13593
820,4928.1,10602,13593
825,5826.3,10860,13593
830,6720.5,11090,13593
835,7592.3,11296,13593
840,8428.5,11478,13593
845,9193.7,11639,13593
850,9786.6,11782,13593
855,10155,11907,13593
860,10297,12018,13593
865,10234,12116,13593
870,10003,12201,13593
875,9640.7,12276,13593
880,9183.2,12342,13593
885,8662.4,12399,13593
890,8105.3,12450,13593
895,7533.4,12494,13593
900,6963.6,12532,13593
905,6408.3,12561,13593
910,5876.8,12564,13593
915,5374.9,12532,13593
920,4906.3,12467,13593
925,4473.1,12372,13593
930,4075.7,12253,13593
935,3713.5,12119,13593
940,3385.3,11973,13593
945,3089.5,11823,13593
950,2823.8,11672,13593
955,2586.3,11524,13593
960,2374.5,11381,13593
965,2186.3,11245,13593
970,2019.3,11118,13593
975,1871.7,10999,13593
980,1741.3,10890,13593
985,1626.4,10791,13593
990,1525.3,10700,13593
995,1436.4,10618,13593
1000,1358.5,10544,13593
1005,1290.1,10478,13593
1010,1230.3,10419,13593
1015,1177.9,10366,13593
1020,1132.2,10320,13593
1025,1092.2,10278,13593
1030,1057.3,10242,13593
1035,1026.8,10209,13593
1040,1000.3,10181,13593
1045,977.18,10156,13593
1050,957.03,10134,13593
1055,939.49,10115,13593
1060,924.23,10098,13593
1065,910.94,10083,13593
1070,899.39,10070,13593
1075,889.35,10059,13593
1080,880.61,10049,13593
1085,898.85,10027,13593
1090,1039.4,9945.3,13593
1095,1350.9,9778.6,13593
1100,1834.8,9526.2,13593
1105,2468.3,9199.3,13593
1110,3218.3,8814.5,13593
1115,4049.2,8389.7,13593
1120,4928.1,7941.4,13593
1125,5826.3,7484,13593
1130,6720.5,7029.2,13593
1135,7592.3,6586,13593
1140,8428.5,6161.3,13593
1145,9193.7,5759.8,13593
1150,9786.6,5384.3,13593
1155,10155,5036.4,13593
1160,10297,4716.7,13593
1165,10234,4424.9,13593
1170,10003,4160,13593
1175,9640.7,3920.9,13593
1180,9183.2,3705.9,13593
1185,8662.4,3513.4,13593
1190,8105.3,3341.6,13593
1195,7533.4,3188.7,13593
1200,6963.6,3053,13593
1205,6408.3,2932.9,13593
1210,5876.8,2826.7,13593
1215,5374.9,2733.1,13593
1220,4906.3,2650.6,13593
1225,4473.1,2578.1,13593
1230,4075.7,2514.5,13593
1235,3713.5,2458.7,13593
1240,3385.3,2409.8,13593
1245,3089.5,2367,13593
1250,2823.8,2329.5,13593
1255,2586.3,2296.8,13593
1260,2374.5,2268.3,13593
1265,2186.3,2249.6,13593
1270,2019.3,2263.4,13593
1275,1871.7,2321.1,13593
1280,1741.3,2422.7,13593
1285,1626.4,2562.4,13593
1290,1525.3,2731.9,13593
1295,1436.4,2922.5,13593
1300,1358.5,3126,13593
1305,1290.1,3335.3,13593
1310,1230.3,3544.7,13593
1315,1177.9,3749.5,13593
1320,1132.2,3946.4,13593
1325,1092.2,4133.1,13593
1330,1057.3,4308.1,13593
1335,1026.8,4470.4,13593
1340,1000.3,4619.8,13593
1345,977.18,4756.4,13593
1350,957.03,4880.4,13593
1355,939.49,4992.5,13593
1360,924.23,5093.3,13593
1365,910.94,5183.7,13593
1370,899.39,5264.4,13593
1375,889.35,5336.2,13593
1380,880.61,5400,13593
1385,898.85,5456.5,13593
1390,1039.4,5506.4,13593
1395,1350.9,5550.5,13593
1400,1834.8,5589.3,13593
1405,2468.3,5623.4,13593
1410,3218.3,5653.4,13593
1415,4049.2,5679.7,13593
1420,4928.1,5702.7,13593
1425,5826.3,5722.9,13593
1430,6720.5,5740.5,13593
1435,7592.3,5755.9,13593
