Time(min),Pulses,Random,Step
0,64.446,64.446,64.446
5,64.446,64.446,64.446
10,64.446,64.446,64.446
15,64.446,64.446,64.446
20,64.446,64.446,64.446
25,64.446,64.446,64.446
30,64.446,64.446,64.446
35,64.446,64.446,64.446
40,64.446,64.446,64.446
45,64.446,64.446,64.446
50,64.446,64.446,64.446
55,64.446,64.446,64.446
60,64.446,64.446,64.446
65,64.446,64.446,64.446
70,64.446,64.446,64.446
75,64.446,64.446,64.446
80,64.446,64.446,64.446
85,64.446,64.446,64.446
90,64.446,64.446,64.446
95,64.446,64.446,64.446
100,64.446,64.446,64.446
105,64.446,64.446,64.446
110,64.446,64.446,64.446
115,64.446,64.446,64.446
120,64.446,64.446,64.446
125,64.446,64.446,64.446
130,64.446,64.446,64.446
135,64.446,64.446,64.446
140,64.446,64.446,64.446
145,64.446,64.446,64.446
150,64.446,64.446,64.446
155,64.446,64.446,64.446
160,64.446,64.446,64.446
165,64.446,64.446,64.446
170,64.446,64.446,64.446
175,64.446,64.446,64.446
180,64.446,64.446,64.446
185,64.571,64.513,64.545
190,65.333,64.922,65.147
195,67.124,65.882,66.563
200,70.144,67.501,68.95
205,74.467,69.818,72.367
210,80.084,72.829,76.806
215,86.936,76.503,82.222
220,94.935,80.79,88.544
225,103.97,85.636,95.688
230,113.94,90.98,103.57
235,124.73,96.763,112.09
240,136.23,102.93,121.18
245,148.21,109.42,130.75
250,160.08,116.19,140.73
255,171.34,123.19,151.05
260,181.73,130.37,161.65
265,191.1,137.72,172.48
270,199.41,145.18,183.48
275,206.64,152.73,194.61
280,212.84,160.34,205.83
285,218.08,168,217.12
290,222.43,175.67,228.44
295,225.97,183.35,239.76
300,228.77,191.01,251.06
305,230.91,198.65,262.32
310,232.46,206.25,273.53
315,233.49,213.81,284.66
320,234.06,221.3,295.71
325,234.23,228.74,306.67
330,234.05,236.1,317.53
335,233.56,243.38,328.27
340,232.8,250.59,338.9
345,231.8,257.71,349.4
350,230.61,264.75,359.77
355,229.25,271.7,370.01
360,227.74,278.55,380.12
365,226.11,285.33,390.09
370,224.37,292.06,399.93
375,222.54,298.78,409.62
380,220.64,305.51,419.17
385,218.69,312.25,428.58
390,216.68,319.01,437.85
395,214.64,325.77,446.98
400,212.57,332.54,455.97
405,210.48,339.29,464.82
410,208.38,346.03,473.54
415,206.27,352.75,482.11
420,204.16,359.43,490.55
425,202.05,366.07,498.85
430,199.94,372.66,507.02
435,197.85,379.2,515.06
440,195.77,385.68,522.97
445,193.7,392.09,530.74
450,191.65,398.44,538.39
455,189.62,404.72,545.92
460,187.61,410.92,553.32
465,185.62,417.05,560.6
470,183.65,423.1,567.76
475,181.71,429.06,574.79
480,179.79,434.95,581.72
485,178.02,440.75,588.52
490,176.92,446.47,595.22
495,176.87,452.11,601.8
500,178.07,457.66,608.27
505,180.6,463.14,614.63
510,184.46,468.52,620.89
515,189.57,473.83,627.04
520,195.86,479.05,633.09
525,203.22,484.19,639.04
530,211.53,489.25,644.88
535,220.68,494.23,650.63
540,230.57,499.13,656.28
545,240.97,503.87,661.84
550,251.28,508.14,667.3
555,261.02,511.7,672.68
560,269.9,514.43,677.96
565,277.79,516.27,683.15
570,284.63,517.25,688.25
575,290.43,517.39,693.27
580,295.23,516.75,698.2
585,299.08,515.4,703.06
590,302.06,513.41,707.82
595,304.26,510.84,712.51
600,305.74,507.77,717.12
605,306.58,504.25,721.65
610,306.86,500.35,726.11
615,306.63,496.12,730.49
620,305.97,491.6,734.79
625,304.93,486.85,739.03
630,303.55,481.9,743.19
635,301.89,476.78,747.28
640,299.97,471.53,751.3
645,297.85,466.18,755.25
650,295.54,460.74,759.14
655,293.08,455.24,762.96
660,290.49,449.71,766.72
665,287.8,444.14,770.42
670,285.02,438.57,774.05
675,282.17,433,777.62
680,279.27,427.44,781.13
685,276.32,421.9,784.58
690,273.34,416.39,787.97
695,270.34,410.92,791.3
700,267.33,405.5,794.58
705,264.32,400.12,797.81
710,261.31,394.79,800.98
715,258.3,389.52,804.09
720,255.31,384.31,807.15
725,252.34,379.24,810.16
730,249.38,374.68,813.12
735,246.46,370.89,816.03
740,243.55,368,818.9
745,240.68,366.08,821.71
750,237.83,365.12,824.47
755,235.02,365.07,827.19
760,232.25,365.87,829.86
765,229.5,367.46,832.49
770,226.79,369.75,835.07
775,224.12,372.68,837.61
780,221.49,376.16,840.11
785,219.02,380.13,842.56
790,217.22,384.52,844.98
795,216.49,389.28,847.35
800,217.02,394.34,849.68
805,218.9,399.67,851.97
810,222.1,405.22,854.23
815,226.58,410.94,856.44
820,232.24,416.81,858.62
825,238.98,422.79,860.76
830,246.69,428.87,862.87
835,255.25,435,864.94
840,264.56,441.19,866.97
845,274.39,447.4,868.97
850,284.13,453.62,870.94
855,293.31,459.83,872.87
860,301.65,466.03,874.77
865,309,472.21,876.64
870,315.32,478.35,878.48
875,320.6,484.45,880.29
880,324.88,490.5,882.06
885,328.23,496.5,883.81
890,330.73,502.44,885.52
895,332.43,508.31,887.21
900,333.44,514.12,888.87
905,333.81,519.82,890.5
910,333.63,525.22,892.1
915,332.96,530.18,893.68
920,331.85,534.63,895.23
925,330.37,538.54,896.75
930,328.56,541.92,898.25
935,326.47,544.79,899.72
940,324.15,547.17,901.17
945,321.61,549.1,902.59
950,318.9,550.63,903.99
955,316.05,551.79,905.36
960,313.07,552.62,906.72
965,310,553.15,908.04
970,306.84,553.43,909.35
975,303.63,553.48,910.64
980,300.36,553.33,911.9
985,297.06,553.01,913.14
990,293.73,552.53,914.36
995,290.39,551.93,915.56
1000,287.04,551.2,916.74
1005,283.69,550.39,917.9
1010,280.35,549.48,919.04
1015,277.03,548.51,920.16
1020,273.72,547.48,921.26
1025,270.43,546.4,922.35
1030,267.17,545.28,923.41
1035,263.94,544.12,924.46
1040,260.74,542.94,925.49
1045,257.58,541.74,926.5
1050,254.45,540.52,927.49
1055,251.36,539.3,928.47
1060,248.31,538.06,929.43
1065,245.29,536.82,930.38
1070,242.32,535.58,931.31
1075,239.38,534.34,932.22
1080,236.49,533.11,933.12
1085,233.76,531.84,934
1090,231.72,530.37,934.87
1095,230.74,528.56,935.72
1100,231.03,526.36,936.56
1105,232.67,523.74,937.39
1110,235.65,520.7,938.2
1115,239.9,517.26,939
1120,245.33,513.46,939.78
1125,251.85,509.33,940.55
1130,259.34,504.9,941.31
1135,267.69,500.22,942.05
1140,276.79,495.32,942.78
1145,286.41,490.23,943.5
1150,295.95,484.98,944.21
1155,304.93,479.61,944.91
1160,313.07,474.13,945.59
1165,320.23,468.58,946.26
1170,326.36,462.96,946.92
1175,331.45,457.31,947.57
1180,335.55,451.63,948.21
1185,338.72,445.95,948.84
1190,341.04,440.26,949.46
1195,342.57,434.59,950.07
1200,343.41,428.94,950.66
1205,343.61,423.32,951.25
1210,343.26,417.75,951.83
1215,342.43,412.21,952.39
1220,341.16,406.72,952.95
1225,339.52,401.29,953.5
1230,337.56,395.91,954.04
1235,335.32,390.6,954.57
1240,332.84,385.35,955.09
1245,330.16,380.16,955.6
1250,327.31,375.04,956.1
1255,324.31,369.98,956.6
1260,321.2,365,957.08
1265,317.99,360.09,957.56
1270,314.7,355.3,958.03
1275,311.35,350.63,958.49
1280,307.95,346.11,958.95
1285,304.52,341.74,959.39
1290,301.06,337.52,959.83
1295,297.6,333.44,960.27
1300,294.13,329.51,960.69
1305,290.66,325.7,961.11
1310,287.2,322.02,961.52
1315,283.76,318.46,961.92
1320,280.34,315.01,962.32
1325,276.94,311.66,962.71
1330,273.57,308.41,963.09
1335,270.23,305.25,963.47
1340,266.93,302.18,963.84
1345,263.66,299.19,964.2
1350,260.43,296.28,964.56
1355,257.24,293.43,964.91
1360,254.08,290.66,965.26
1365,250.97,287.95,965.6
1370,247.9,285.3,965.93
1375,244.87,282.71,966.26
1380,241.89,280.17,966.58
1385,239.07,277.7,966.9
1390,236.93,275.27,967.21
1395,235.87,272.89,967.52
1400,236.08,270.56,967.82
1405,237.63,268.27,968.12
1410,240.52,266.03,968.41
1415,244.69,263.83,968.7
1420,250.04,261.68,968.98
1425,256.48,259.56,969.26
1430,263.89,257.49,969.53
1435,272.16,255.45,969.8
