IPTGpre,IPTG,time(min),Mean,StandardDeviation,NumberOfCells
0,0,0,33.226,17.363,2
0,0,5,17.541,22.188,4
0,0,10,36.715,8.6215,2
0,0,15,35.58,5.8174,2
0,0,20,37.335,1.6231,2
0,0,25,37.898,1.6834,2
0,0,30,39.2,1.2449,2
0,0,35,39.642,0.10485,2
0,0,40,40.333,1.9986,2
0,0,45,39.887,3.0105,2
0,0,50,41.397,3.9818,2
0,0,55,40.651,1.6883,2
0,0,60,37.855,7.3079,3
0,0,65,34.413,14.039,3
0,0,70,37.344,11.254,3
0,0,75,36.839,11.598,3
0,0,80,37.436,8.4378,3
0,0,85,38.017,4.8631,3
0,0,90,39.292,3.3668,3
0,0,95,40.535,1.7806,3
0,0,100,42.193,1.1599,3
0,0,105,43.738,1.0647,3
0,0,110,34.342,14.764,5
0,0,115,40.126,9.44,4
0,0,120,40.137,8.587,4
0,0,125,39.913,6.4765,4
0,0,130,40.013,6.3929,5
0,0,135,39.437,7.2377,5
0,0,140,41.246,5.7977,5
0,0,145,42.142,4.4863,5
0,0,150,42.571,3.5929,5
0,0,155,43.352,3.1791,5
0,0,160,44.751,4.528,5
0,0,165,45.428,5.4673,5
0,0,170,38.324,16.569,7
0,0,175,38.766,16.18,7
0,100,180,40.13,14.328,7
0,100,185,40.922,11.978,7
0,100,190,43.083,11.641,7
0,100,195,45.074,9.296,7
0,100,200,49.639,9.7304,8
0,100,205,59.621,10.08,8
0,100,210,72.781,9.0066,8
0,100,215,89.441,9.7142,8
0,100,220,108,3.0791,6
0,100,225,125.61,9.0076,7
0,100,230,151.07,14.082,8
0,100,235,177.17,16.496,8
0,100,240,199.27,17.978,8
0,100,245,209.83,40.101,10
0,100,250,234.91,41.395,10
0,100,255,258.34,43.991,10
0,100,260,279.99,43.619,11
0,100,265,294.43,62.012,12
0,100,270,324.55,59.065,12
0,100,275,358.4,51.697,12
0,100,280,386.66,52.776,12
0,100,285,400.85,61.614,13
0,100,290,426.81,61.377,13
0,100,295,458.82,51.78,13
0,100,300,483.83,54.562,13
0,100,305,511.18,51.46,13
0,100,310,535.23,54.33,13
0,100,315,492.31,112.7,20
0,100,320,532,93.194,20
0,100,325,527.95,109.45,23
0,100,330,566.6,95.832,23
0,100,335,593.81,90.145,23
0,100,340,605.58,106.22,25
0,100,345,614.1,120.18,28
0,100,350,614.77,138.44,28
0,100,355,630.28,122.5,31
0,100,360,679.64,103.24,30
0,100,365,690.31,103.28,32
