IPTGpre,IPTG,time_min_,Mean,StandardDeviation,NumberOfCells
0,0,0,17.504,11.649,9
0,0,5,14.02,13.215,13
0,0,10,12.576,12.536,16
0,0,15,17.219,12.427,11
0,0,20,15.01,12.638,13
0,0,25,16.026,13.55,12
0,0,30,16.244,13.884,12
0,0,35,15.364,13.438,14
0,0,40,15.177,14.292,14
0,0,45,19.857,15.08,10
0,0,50,16.101,14.243,14
0,0,55,17.242,14.267,13
0,0,60,13.395,15.866,18
0,0,65,20.208,14.231,12
0,0,70,29.094,5.4087,8
0,0,75,18.169,12.727,17
0,0,80,18.899,11.563,17
0,0,85,21.161,10.435,16
0,0,90,19.31,12.696,17
0,0,95,21.315,11.852,15
0,0,100,19.355,13.706,18
0,0,105,19.549,12.592,18
0,0,110,20.529,12.268,18
0,0,115,21.525,11.853,18
0,0,120,20.071,13.932,19
0,0,125,20.583,12.596,20
0,0,130,19.468,14.654,21
0,0,135,20.275,12.998,22
0,0,140,20.893,12.828,22
0,0,145,20.898,12.179,24
0,0,150,20.206,12.279,26
0,0,155,20.02,12.277,26
0,0,160,21.548,11.388,26
0,0,165,22.683,11.723,25
0,0,170,21.773,12.652,27
0,0,175,22.932,11.81,26
0,7.5,180,24.13,9.3392,24
0,7.5,185,22.585,9.7336,26
0,7.5,190,27.027,6.5941,23
0,7.5,195,27.182,9.5173,25
0,7.5,200,22.457,12.789,33
0,7.5,205,24.852,12.744,31
0,7.5,210,26.246,12.74,34
0,7.5,215,29.672,12.516,35
0,7.5,220,31.072,15.233,39
0,7.5,225,41.069,11.122,34
0,7.5,230,47.83,9.7281,34
0,7.5,235,55.779,10.11,33
0,7.5,240,61.288,14.4,37
0,7.5,245,69.05,16.765,39
0,7.5,250,78.026,17.105,41
0,7.5,255,88.94,19.898,40
0,7.5,260,99.338,19.243,41
0,7.5,265,110.06,19.163,41
0,7.5,270,120.37,19.543,43
0,7.5,275,129.6,22.983,47
0,7.5,280,139.62,26.518,47
0,7.5,285,149.06,26.018,51
0,7.5,290,158.43,27.066,52
0,7.5,295,168.29,30.806,56
0,7.5,300,181.81,27.555,54
0,7.5,305,181.55,37.509,61
0,7.5,310,193.53,36.318,61
0,7.5,315,199.54,44.919,65
0,7.5,320,212.12,44.579,66
0,7.5,325,222.1,49.444,68
0,7.5,330,237.49,46.236,67
0,7.5,335,242.79,47.186,69
0,7.5,340,248.48,52.816,71
0,7.5,345,259.9,46.923,70
0,7.5,350,264.99,52.068,75
0,7.5,355,268.75,58.546,80
0,7.5,360,280.53,57.699,84
0,7.5,365,288.58,56.587,86
0,7.5,370,293.28,53.684,87
0,7.5,375,297.85,60.195,93
0,7.5,380,298.59,61.557,97
0,7.5,385,305.06,63.14,100
0,7.5,390,305.43,67.997,105
0,7.5,395,313.23,68.507,110
0,7.5,400,318.73,67.977,115
0,7.5,405,322.03,66.007,117
0,7.5,410,334.67,61.845,118
0,7.5,415,339.03,60.017,124
0,7.5,420,349.11,60.475,127
0,7.5,425,353.05,58.864,130
0,7.5,430,352.47,64.83,139
0,7.5,435,353.68,68.72,147
0,7.5,440,353.4,66.816,150
0,7.5,445,363.89,63.809,156
0,7.5,450,359.61,67.497,163
0,7.5,455,369.87,67.019,167
0,7.5,460,371.94,72.848,177
0,7.5,465,376.42,70.697,179
0,7.5,470,383.12,68.546,182
0,7.5,475,387.56,73.363,191
0,7.5,480,392.47,74.354,198
0,7.5,485,388.56,83.278,214
0,7.5,490,385.8,85.824,227
0,7.5,495,391.59,83.759,232
0,7.5,500,390.1,91.061,245
0,7.5,505,394.83,83.216,250
0,7.5,510,394.92,80.709,259
0,7.5,515,402.36,78.798,264
0,7.5,520,403.48,79.702,282
0,7.5,525,403.81,77.975,290
0,7.5,530,404.57,77.733,300
0,7.5,535,408.45,75.98,308
0,7.5,540,421.45,77.912,313
0,7.5,545,423.9,79.008,326
0,7.5,550,420.73,81.345,342
0,7.5,555,419.34,85.259,362
0,7.5,560,413.72,87.045,380
0,7.5,565,424.29,85.54,388
0,7.5,570,428.21,84.869,402
0,7.5,575,432.32,80.401,415
0,7.5,580,435.98,79.077,432
0,7.5,585,NaN,NaN,NaN
0,7.5,590,445.32,74.015,454
0,7.5,595,452.41,76.018,476
0,7.5,600,451.67,77.342,496
0,7.5,605,449.3,83.796,526
0,7.5,610,452.23,84.074,542
0,7.5,615,454,86.369,558
0,7.5,620,454.2,85.576,578
0,7.5,625,461.83,79.771,585
0,7.5,630,463.29,81.578,602
0,7.5,635,471.81,77.126,624
0,7.5,640,469.29,79.727,648
0,7.5,645,478.97,76.87,667
0,7.5,650,480.91,76.536,681
0,7.5,655,478.01,79.528,719
0,7.5,660,485.84,79.291,738
0,7.5,665,486.49,78.758,756
0,7.5,670,487.66,77.444,772
0,7.5,675,480.42,80.531,807
0,7.5,680,484.39,82.903,833
0,7.5,685,492.5,81.526,857
0,7.5,690,487.19,80.057,887
0,7.5,695,492.51,78.88,906
0,7.5,700,496.82,77.288,938
0,7.5,705,490.79,80.391,986
0,7.5,710,488.81,81.836,1018
0,7.5,715,492.64,80.049,1042
0,7.5,720,495.77,80.309,1081
0,7.5,725,499.67,81.108,1122
0,7.5,730,500.83,84.791,1161
0,7.5,735,498.43,84.465,1208
0,7.5,740,495.58,86.031,1259
0,7.5,745,494.94,84.485,1286
0,7.5,750,505.71,84.092,1307
0,7.5,755,509.53,84.828,1355
0,7.5,760,509.62,80.868,1369
0,7.5,765,515.7,79.762,1384
0,7.5,770,519.46,80.701,1404
0,7.5,775,517.83,78.803,1428
0,7.5,780,524.73,79.491,1441
0,7.5,785,522.67,78.939,1472
0,7.5,790,527.93,79.29,1478
0,7.5,795,530.46,79.003,1490
0,7.5,800,532.95,80.343,1479
0,7.5,805,536.29,80.955,1481
0,7.5,810,539.84,80.51,1510
0,7.5,815,544.63,79.901,1515
0,7.5,820,543.66,81.514,1541
0,7.5,825,543.95,82.196,1552
0,7.5,830,550.01,80.614,1556
0,7.5,835,548.5,81.272,1563
0,7.5,840,552.55,80.563,1581
0,7.5,845,550.09,80.892,1589
0,7.5,850,546.02,83.075,1622
0,7.5,855,549.69,81.322,1608
0,7.5,860,556.78,83.533,1643
0,7.5,865,558.41,83.397,1660
0,7.5,870,554.56,82.945,1668
0,7.5,875,555.68,84.744,1682
0,7.5,880,560.69,84.916,1697
0,7.5,885,561.16,86.065,1708
0,7.5,890,564.33,87.404,1704
0,7.5,895,564.36,87.499,1724
0,7.5,900,559.44,88.581,1766
0,7.5,905,564.8,88.624,1760
0,7.5,910,560.55,87.589,1761
0,7.5,915,567.76,90.055,1791
0,7.5,920,569.42,87.682,1797
0,7.5,925,569.03,87.3,1826
0,7.5,930,575.02,90.159,1827
0,7.5,935,572.07,88.637,1829
0,7.5,940,578.4,87.56,1821
0,7.5,945,576.56,88.698,1837
0,7.5,950,576.17,91.525,1865
0,7.5,955,581.85,92.312,1883
0,7.5,960,584.79,94.208,1892
0,7.5,965,591.84,96.14,1909
0,7.5,970,586.63,95.331,1927
0,7.5,975,580.46,97.317,1954
0,7.5,980,588.02,96.098,1934
0,7.5,985,587.64,99.488,1972
0,7.5,990,589.76,101.72,1987
0,7.5,995,591.45,103.49,2020
0,7.5,1000,588.54,103.62,2031
0,7.5,1005,586.89,100.8,2032
0,7.5,1010,590.87,100.56,2054
0,7.5,1015,595.75,103.11,2055
0,7.5,1020,597.65,102.8,2078
0,7.5,1025,603.49,109.99,2103
0,7.5,1030,603.26,110.08,2136
0,7.5,1035,597.41,113.87,2165
0,7.5,1040,610.32,116.26,2156
0,7.5,1045,604.75,115.48,2142
0,7.5,1050,600.99,117.26,2170
0,7.5,1055,600.49,119.18,2187
