IPTGpre,IPTG,time_min_,Mean,StandardDeviation,NumberOfCells
0,0,0,20.901,3.1159,3
0,0,5,22.038,2.5222,3
0,0,10,22.812,1.2374,3
0,0,15,21.935,0.8744,3
0,0,20,23.92,0.51987,3
0,0,25,24.436,1.6461,3
0,0,30,24.348,1.6645,3
0,0,35,24.522,2.0673,3
0,0,40,19.478,10.618,4
0,0,45,25.51,1.8529,3
0,0,50,26.723,2.2879,3
0,0,55,19.911,9.7149,5
0,0,60,20.981,9.4304,5
0,0,65,24.462,5.554,4
0,0,70,24.256,5.7135,4
0,0,75,22.554,5.5663,5
0,0,80,23.373,4.0029,5
0,0,85,23.601,3.2329,5
0,0,90,24.657,3.2714,5
0,0,95,24.426,1.992,5
0,0,100,25.512,2.4092,5
0,0,105,26.02,2.2758,5
0,0,110,26.212,2.9017,5
0,0,115,26.215,3.2739,5
0,0,120,26.328,3.9671,5
0,0,125,24.111,6.7204,6
0,0,130,23.622,7.0937,7
0,0,135,22.364,8.1079,8
0,0,140,22.766,7.1743,8
0,0,145,23.675,6.3964,8
0,0,150,24.34,5.0827,8
0,0,155,24.758,4.4327,8
0,0,160,25.017,4.1964,8
0,0,165,25.293,3.3613,8
0,0,170,26.264,3.0663,8
0,0,175,25.027,4.5884,9
0,14,180,26.278,3.2442,8
0,14,185,25.65,3.4832,9
0,14,190,25.778,3.6226,9
0,14,195,23.151,7.7538,11
0,14,200,21.678,9.0666,11
0,14,205,24.783,6.1654,12
0,14,210,27.45,5.1922,12
0,14,215,29.373,5.8494,13
0,14,220,32.416,4.3609,12
0,14,225,38.747,4.8591,13
0,14,230,44.626,6.1435,13
0,14,235,51.482,6.8411,13
0,14,240,58.437,7.5923,13
0,14,245,66.564,10.203,13
0,14,250,69.252,19.116,15
0,14,255,81.264,17.992,14
0,14,260,80.783,26.156,16
0,14,265,90.948,25.908,16
0,14,270,97.656,27.293,17
0,14,275,108.32,27.372,17
0,14,280,113.15,25.941,16
0,14,285,118.6,20.877,18
0,14,290,132.82,17.474,17
0,14,295,147.43,22.126,18
0,14,300,159.58,20.217,18
0,14,305,167.48,22.489,18
0,14,310,179,30.251,19
0,14,315,188.24,31,19
0,14,320,194.7,31.857,19
0,14,325,195.86,38.779,20
0,14,330,186.74,57.278,24
