IPTGpre,IPTG,time_min_,Mean,StandardDeviation,NumberOfCells
0,0,0,54.142,2.1596,2
0,0,5,64.741,0.061701,2
0,0,10,52.468,40.381,3
0,0,15,63.313,41.915,3
0,0,20,58.651,41.452,4
0,0,25,67.03,43.908,4
0,0,30,88.887,39.676,3
0,0,35,93.786,37.73,3
0,0,40,100.26,32.204,3
0,0,45,103.39,29.638,3
0,0,50,108.83,31.081,3
0,0,55,113.16,32.964,3
0,0,60,102.18,40.465,4
0,0,65,105,40.182,4
0,0,70,108.53,38.332,4
0,0,75,107.66,39.52,4
0,0,80,94.427,46.352,5
0,0,85,95.056,40.826,5
0,0,90,95.967,37.333,5
0,0,95,97.421,33.891,5
0,0,100,96.906,28.401,5
0,0,105,98.806,26.412,5
0,0,110,98.617,22.984,5
0,0,115,97.435,20.565,5
0,0,120,98.011,20.365,5
0,0,125,98.003,21.411,5
0,0,130,88.022,30.291,6
0,0,135,98.33,20.954,5
0,0,140,89.957,24.864,6
0,0,145,83.638,28.451,7
0,0,150,82.128,28.452,7
0,0,155,74.576,30.802,8
0,0,160,77.447,25.671,8
0,0,165,71.4,28.58,9
0,0,170,73.155,23.297,9
0,0,175,73.141,19.88,9
0,100,180,71.025,16.1,9
0,100,185,73.182,14.975,9
0,100,190,75.124,12.925,9
0,100,195,71.475,14.536,10
0,100,200,75.109,13.696,10
0,100,205,80.126,13.455,10
0,100,210,87.298,13.248,10
0,100,215,98.253,11.995,10
0,100,220,111.39,11.481,10
0,100,225,121.98,17.972,11
0,100,230,126.05,26.119,14
0,100,235,152.1,18.705,12
0,100,240,166.5,22.223,13
0,100,245,181.37,24.729,15
0,100,250,207.06,16.445,13
0,100,255,224.22,23.797,14
0,100,260,241.89,33.511,15
0,100,265,244.6,56.402,18
0,100,270,267.51,51.533,18
0,100,275,298.84,38.461,17
0,100,280,309.9,45.153,18
0,100,285,327.6,52.775,19
0,100,290,352.8,47.622,19
0,100,295,372.52,39.726,19
0,100,300,394.88,39.26,19
0,100,305,382.43,74.39,24
0,100,310,408.86,65.638,23
0,100,315,423.64,59.547,23
