IPTGpre,IPTG,time(min),Mean,StandardDeviation,NumberOfCells
0,0,0,35.167,0.34766,2
0,0,5,40.946,0.021714,2
0,0,10,45.944,1.4368,2
0,0,15,50.657,0.97284,2
0,0,20,51.775,3.8373,2
0,0,25,56.38,4.8225,2
0,0,30,60.178,3.9253,2
0,0,35,63.083,7.5853,2
0,0,40,64.731,6.0815,2
0,0,45,65.837,5.1522,2
0,0,50,63.394,8.0792,3
0,0,55,63.233,7.9178,3
0,0,60,62.805,3.6677,3
0,0,65,63.743,2.213,3
0,0,70,65.845,5.1349,3
0,0,75,65.654,7.4138,3
0,0,80,68.334,8.2135,3
0,0,85,67.687,7.8482,3
0,0,90,66.949,4.9295,3
0,0,95,61.163,16.338,4
0,0,100,61.844,15.197,4
0,0,105,59.941,12.512,5
0,0,110,57.894,13.463,5
0,0,115,57.916,10.917,5
0,0,120,60.98,12.355,4
0,0,125,54.855,11.641,6
0,0,130,58.697,6.1133,5
0,0,135,57.848,5.4932,5
0,0,140,60.855,5.8061,5
0,0,145,60.448,7.1377,5
0,0,150,60.994,6.3427,5
0,0,155,56.9,6.3982,5
0,0,160,58.656,7.1719,5
0,0,165,57.929,6.0649,5
0,0,170,58.07,4.5199,5
0,0,175,51.779,10.165,7
0,100,180,48.941,10.948,8
0,100,185,48.541,12.154,8
0,100,190,49.017,10.466,8
0,100,195,48.622,12.117,8
0,100,200,47.535,10.226,10
0,100,205,50.96,9.1672,10
0,100,210,53.448,14.855,11
0,100,215,59.628,14.878,11
0,100,220,69.268,14.904,11
0,100,225,79.606,14.585,11
0,100,230,93.374,14.773,11
0,100,235,107.2,13.84,11
0,100,240,119.25,10.766,11
0,100,245,131.9,14.978,12
0,100,250,143.2,6.2777,9
0,100,255,159.36,14.788,13
0,100,260,175.96,14.137,13
0,100,265,192.47,15.683,13
0,100,270,195.87,28.726,15
0,100,275,214.99,24.068,15
0,100,280,234.46,23.89,16
0,100,285,246.72,26.471,16
0,100,290,257.86,35.441,17
0,100,295,270.52,40.469,18
0,100,300,278.33,42.429,20
0,100,305,283.91,46.045,22
0,100,310,302.77,42.213,22
0,100,315,295.99,68.186,27
0,100,320,333.66,37.213,24
0,100,325,351.84,33.092,22
0,100,330,349.77,51.302,25
0,100,335,356.44,66.032,28
0,100,340,367.24,59.061,28
0,100,345,375.26,62.527,29
0,100,350,387.53,65.333,30
0,100,355,404.49,65.348,31
0,100,360,411.09,72.774,35
0,100,365,427.09,61.88,36
0,100,370,432.26,54.455,35
0,100,375,438.84,68.094,37
0,100,380,461.57,56.92,36
0,100,385,470.14,59.864,38
0,100,390,485.65,52.872,39
0,100,395,493.57,50.653,40
0,100,400,505.64,53.953,41
0,100,405,517.9,57.988,42
0,100,410,489.18,90.245,49
0,100,415,497.64,79.303,51
0,100,420,502.22,79.259,54
0,100,425,499.03,97.281,58
0,100,430,517.26,86.286,58
0,100,435,529.76,85.382,62
0,100,440,514.69,106.08,66
0,100,445,520.19,96.797,70
0,100,450,517.26,108.87,73
0,100,455,520.06,102.02,78
0,100,460,529.79,98.57,78
0,100,465,531.42,102.46,84
0,100,470,541.06,98.444,86
0,100,475,558.64,93.95,87
0,100,480,563.79,93.585,90
0,100,485,568.45,97.772,93
0,100,490,546.24,120.67,103
0,100,495,547.17,115.89,108
0,100,500,538.14,131.32,121
0,100,505,555.49,117,124
0,100,510,565.05,114.8,129
0,100,515,556.82,112.9,135
0,100,520,562.87,111.1,140
0,100,525,574.06,96.539,139
0,100,530,578.94,95.026,144
0,100,535,577.34,96.644,152
0,100,540,587.17,93.639,158
0,100,545,593.44,96.517,165
0,100,550,594.98,109.78,177
0,100,555,602.09,102.09,178
0,100,560,589.72,113.62,191
0,100,565,583.16,114.91,201
0,100,570,593.13,118.65,219
0,100,575,595.28,123.2,232
0,100,580,592.58,116.16,242
0,100,585,593.28,115.36,255
0,100,590,593.29,109.49,265
0,100,595,612.55,102.07,276
0,100,600,617.92,110.62,287
0,100,605,609.66,111.84,299
0,100,610,620.51,117.25,313
0,100,615,613.06,116.13,325
0,100,620,619.22,106.23,328
0,100,625,623.12,118.75,343
0,100,630,626.97,117.6,356
0,100,635,621.61,122,373
0,100,640,624.18,112.78,391
0,100,645,624.02,112.13,409
0,100,650,629.17,112.06,417
0,100,655,620.72,113.49,442
0,100,660,621.09,115.34,453
0,100,665,617.6,107.84,473
0,100,670,628.59,101.68,480
0,100,675,640.82,103.55,484
0,100,680,636.76,102.38,500
0,100,685,641.05,104.5,527
0,100,690,636.96,108.28,541
0,100,695,638.75,112.97,569
0,100,700,634.58,116.2,587
0,100,705,642.41,110.74,595
0,100,710,655.99,111.5,609
0,100,715,646.08,119.2,640
0,100,720,658.1,115.6,652
0,100,725,652.32,118.15,671
0,100,730,659.4,112.56,678
0,100,735,660.16,115.75,685
0,100,740,658.93,112.35,694
0,100,745,673.82,117.98,713
0,100,750,666.43,125.5,753
0,100,755,659.91,124.85,771
0,100,760,659.46,124.2,808
0,100,765,673.96,119.54,807
0,100,770,673.53,117.22,822
0,100,775,679.66,110.92,841
0,100,780,683.85,110.83,869
0,100,785,681.85,109.96,896
0,100,790,679.35,108.31,909
0,100,795,689.32,109.53,930
0,100,800,697.6,109.88,944
0,100,805,701.57,106.99,968
0,100,810,703.54,112.3,988
0,100,815,702.26,116.46,1030
0,100,820,707.41,116.2,1030
0,100,825,708.02,115.8,1063
0,100,830,708.61,110.31,1092
0,100,835,701.98,114.15,1154
0,100,840,711.05,111.57,1156
0,100,845,715.77,111.21,1164
0,100,850,729.01,112.82,1191
0,100,855,727.27,113.09,1225
0,100,860,733.26,107.93,1244
0,100,865,736.41,106.06,1251
0,100,870,733.4,109.92,1283
0,100,875,740.08,105.64,1279
0,100,880,751.59,110.98,1340
0,100,885,756.2,107.45,1376
0,100,890,753.69,104.23,1411
0,100,895,757.43,107.37,1457
0,100,900,746.44,108.44,1493
0,100,905,753.7,109.29,1531
0,100,910,773.23,110.86,1554
0,100,915,769.58,110.57,1615
0,100,920,772.75,107.65,1645
0,100,925,769.55,111.82,1721
0,100,930,772.51,111.84,1712
0,100,935,778.78,108.87,1725
0,100,940,788.11,106,1751
0,100,945,778.19,105.15,1792
0,100,950,776.14,103.21,1848
0,100,955,786.19,103.18,1892
0,100,960,792.57,104.75,1925
0,100,965,799.38,107.21,1919
0,100,970,813.84,110.5,1971
0,100,975,823.67,109.63,2005
0,100,980,819.27,111.89,2058
0,100,985,822.2,112.68,2076
0,100,990,830.41,114.64,2111
0,100,995,835.2,112.94,2119
0,100,1000,848.55,112.67,2120
0,100,1005,854.87,114.63,2144
0,100,1010,848.33,115.3,2149
0,100,1015,842.21,109.97,2141
0,100,1020,849.42,111.88,2145
0,100,1025,854.61,111.8,2152
0,100,1030,873.91,114.38,2156
0,100,1035,878.35,113.39,2161
0,100,1040,875.69,115.37,2163
0,100,1045,873.94,115.14,2159
0,100,1050,865.1,119.26,2197
0,100,1055,876.81,116.93,2196
0,100,1060,881.23,117.37,2191
0,100,1065,896.5,116.01,2183
0,100,1070,889.35,115.39,2190
0,100,1075,892,114.98,2191
0,100,1080,897.85,114.92,2182
0,100,1085,907.29,115.59,2189
0,100,1090,886.34,112.64,2199
0,100,1095,914.08,118.31,2216
0,100,1100,917.68,114.02,2192
0,100,1105,912.51,115.52,2221
0,100,1110,919.25,118.12,2232
0,100,1115,913.78,119.05,2208
0,100,1120,930.36,119.93,2212
0,100,1125,922.79,119.52,2231
0,100,1130,916.65,116.18,2212
0,100,1135,923.09,116.49,2239
0,100,1140,925.4,113.87,2206
0,100,1145,918.98,118.65,2211
0,100,1150,925.58,119.44,2234
0,100,1155,934.51,120.74,2249
0,100,1160,944.55,120.69,2237
0,100,1165,940.76,123.25,2243
0,100,1170,932.88,124.74,2261
0,100,1175,943.2,123.43,2259
0,100,1180,941.47,124.06,2279
0,100,1185,954.81,128.85,2270
0,100,1190,953.21,133.8,2233
0,100,1195,969.73,131.76,2237
0,100,1200,956.55,132,2260
0,100,1205,964.28,134.47,2273
0,100,1210,976.76,136.2,2277
0,100,1215,980.29,135.65,2281
0,100,1220,983.66,131.66,2286
0,100,1225,977.7,131.51,2317
0,100,1230,987.99,136.16,2322
0,100,1235,986.86,138.06,2335
0,100,1240,990.71,135.29,2326
0,100,1245,998.12,136.38,2353
0,100,1250,997.34,134.4,2330
0,100,1255,993.69,138.17,2368
0,100,1260,1011.9,143.03,2363
0,100,1265,1016.2,143.81,2369
0,100,1270,1008.9,143.4,2411
0,100,1275,1009.6,144.41,2415
0,100,1280,1001.8,141.51,2365
0,100,1285,1019.5,144.5,2390
0,100,1290,1033.9,146.38,2393
0,100,1295,1035.4,151.71,2397
0,100,1300,1019.9,151.62,2393
0,100,1305,1032.1,149.13,2398
0,100,1310,1037.9,152.41,2388
0,100,1315,1041.8,153.23,2405
0,100,1320,1038.2,156.89,2422
0,100,1325,1029.3,153.05,2420
0,100,1330,1049.6,156.12,2414
0,100,1335,1048.2,157.36,2334
0,100,1340,1052.5,161.33,2373
0,100,1345,1044.3,161.88,2385
0,100,1350,1060.7,165.33,2416
0,100,1355,1068.8,163.55,2426
0,100,1360,1072,166,2429
0,100,1365,1071.8,161.59,2428
0,100,1370,1077.7,165.09,2459
0,100,1375,1085.3,166.31,2472
0,100,1380,1084.3,165.15,2463
0,100,1385,1094.3,168.01,2470
0,100,1390,1092.5,166.02,2472
0,100,1395,1099.7,167.15,2495
0,100,1400,1091.4,166.91,2489
0,100,1405,1119,172.9,2508
0,100,1410,1126.3,170.6,2494
0,100,1415,1111.9,173.14,2466
0,100,1420,1113.8,171.91,2476
0,100,1425,1114,175.93,2460
0,100,1430,1139.8,178.88,2464
0,100,1435,1140.9,178.85,2471
