IPTGpre,IPTG,time(min),Mean,StandardDeviation,NumberOfCells
0,0,0,23.498,8.1007,5
0,0,5,24.655,7.7225,5
0,0,10,21.897,3.1735,4
0,0,15,25.476,7.225,5
0,0,20,23.723,1.5163,4
0,0,25,26.828,5.9455,5
0,0,30,27.388,5.8675,5
0,0,35,27.919,6.1902,5
0,0,40,25.563,2.5609,4
0,0,45,28.814,6.2038,5
0,0,50,27.226,10.556,5
0,0,55,24.829,11.43,7
0,0,60,25.712,10.463,7
0,0,65,25.289,9.5381,7
0,0,70,22.944,10.435,8
0,0,75,25.647,7.6019,8
0,0,80,26.946,7.904,8
0,0,85,26.908,7.0063,8
0,0,90,27.939,6.8598,8
0,0,95,28.102,7.3272,8
0,0,100,29.319,7.5698,8
0,0,105,28.364,10.803,9
0,0,110,29.603,9.6311,9
0,0,115,29.424,10.115,9
0,0,120,28.623,9.7144,10
0,0,125,29.078,8.3798,11
0,0,130,29.644,9.2297,11
0,0,135,27.784,7.4471,11
0,0,140,28.853,7.5096,12
0,0,145,29.842,9.9,13
0,0,150,30.479,9.1346,13
0,0,155,31.397,8.6064,13
0,0,160,31.364,7.9166,13
0,0,165,30.588,9.9185,14
0,0,170,31.39,7.5675,14
0,0,175,29.695,9.3518,16
0,2.5,180,31.393,8.4986,15
0,2.5,185,30.787,8.3404,15
0,2.5,190,29.605,8.651,18
0,2.5,195,29.053,8.162,19
0,2.5,200,29.835,7.852,19
0,2.5,205,29.706,7.106,20
0,2.5,210,30.243,7.5159,20
0,2.5,215,30.971,7.3454,20
0,2.5,220,32.066,7.2911,20
0,2.5,225,33.341,7.2494,20
0,2.5,230,33.932,6.6168,21
0,2.5,235,35.119,6.1261,21
0,2.5,240,36.955,4.9839,20
0,2.5,245,37.774,4.7908,19
0,2.5,250,38.591,6.8509,25
0,2.5,255,38.441,7.9191,26
0,2.5,260,39.229,8.402,27
0,2.5,265,41.651,6.3121,26
0,2.5,270,40.799,7.7786,31
0,2.5,275,42.667,8.0141,33
0,2.5,280,44.462,7.9526,34
0,2.5,285,46.269,8.3769,34
0,2.5,290,48.033,8.7693,34
